siteID,year,mmwrWeek,mean,variance
BLAN,2015,23,NA,NA
BLAN,2015,24,NA,NA
BLAN,2015,25,NA,NA
BLAN,2015,26,NA,NA
BLAN,2015,31,NA,NA
BLAN,2015,32,NA,NA
BLAN,2015,33,NA,NA
BLAN,2015,34,NA,NA
BLAN,2015,35,NA,NA
BLAN,2015,36,NA,NA
BLAN,2015,37,NA,NA
BLAN,2015,38,NA,NA
BLAN,2015,39,NA,NA
BLAN,2015,44,78.36736526946108,43.31
BLAN,2015,45,78.61299003322259,172.54
BLAN,2015,46,59.80300613496932,87.73
BLAN,2015,47,64.29574404761905,154.64
BLAN,2015,48,82.97364667747163,42.83
BLAN,2015,49,80.34546268656716,88.31
BLAN,2015,50,77.9275223880597,53.13
BLAN,2015,51,70.77291417165668,132.3
BLAN,2015,52,86.68629807692308,13.65
BLAN,2016,1,43.346,8.93
BLAN,2016,12,48.89366197183099,37.66
BLAN,2016,13,64.43481818181819,95.56
BLAN,2016,14,56.823660714285715,322.47
BLAN,2016,15,61.156875,145.01
BLAN,2016,16,65.2842942942943,122.82
BLAN,2016,17,81.81240853658537,117.81
BLAN,2016,18,90.68376068376068,55.83
BLAN,2016,19,95.081,17.29
BLAN,2016,46,73.32641860465117,41.95
BLAN,2016,47,59.71372023809524,122.81
BLAN,2016,48,71.61981042654028,158.33
BLAN,2016,49,70.32651162790698,178.82
BLAN,2016,50,62.11413690476191,134.64
BLAN,2016,51,67.85879464285715,182.13
BLAN,2016,52,72.1332641770401,230.01
BLAN,2017,1,69.21544011544012,106.86
BLAN,2017,2,62.52575892857143,82.23
BLAN,2017,3,79.97645933014354,32.74
BLAN,2017,4,76.69772575250836,103.84
BLAN,2017,5,56.20163358778626,144.48
BLAN,2017,6,53.72119402985074,209.88
BLAN,2017,7,58.7796130952381,110.55
BLAN,2017,8,61.745178571428575,72.3
BLAN,2017,9,57.33540178571429,197.86
BLAN,2017,10,54.82816964285714,260.05
BLAN,2017,11,53.00022354694486,204.68
BLAN,2017,12,62.16267857142857,148.42
BLAN,2017,13,75.01145833333334,110.74
BLAN,2017,14,66.71845921450151,176.7
BLAN,2017,15,49.382880184331796,164.25
BLAN,2017,16,62.892513368983956,74.59
BLAN,2017,17,82.49137770897833,40.12
BLAN,2017,18,72.00385650224216,92.64
BLAN,2017,19,73.20944776119403,201
BLAN,2017,20,69.03217457886677,113.08
BLAN,2017,21,84.98326251896813,67.63
BLAN,2017,22,79.34414050822123,85.75
BLAN,2017,23,75.77266467065868,58.86
BLAN,2017,24,75.87200892857143,34.4
BLAN,2017,25,80.31386466165414,42.84
BLAN,2017,26,67.32316417910448,54.62
BLAN,2017,27,80.51232484076434,195.88
BLAN,2017,28,77.18730538922156,93.47
BLAN,2017,29,77.29520423600606,116.07
BLAN,2017,30,83.622,283.12
BLAN,2017,31,78.73703987730062,86.14
BLAN,2017,32,81.44436472346786,72.86
BLAN,2017,33,87.20284578696344,60.6
BLAN,2017,34,79.62,156.69
BLAN,2017,35,82.30559451219513,30.76
BLAN,2017,36,84.3016062992126,46.3
BLAN,2017,37,83.10672360248448,33.94
BLAN,2017,38,83.61611367127496,43.2
BLAN,2017,39,77.45399698340874,61.51
BLAN,2017,40,74.66116591928251,71.82
BLAN,2017,41,86.50770700636943,109.79
BLAN,2017,42,75.02777777777777,78.78
BLAN,2017,43,73.33857357357357,53.73
BLAN,2017,44,75.76643178410795,155.48
BLAN,2017,45,84.75950617283951,71.81
BLAN,2017,46,69.07199404761904,110.44
BLAN,2017,47,64.26362686567164,176.65
BLAN,2017,48,61.15940476190476,178.35
BLAN,2017,49,68.58418154761905,177.24
BLAN,2017,50,64.39541791044776,58.68
BLAN,2017,51,64.64449253731344,143.43
BLAN,2017,52,65.68395173453997,131.5
BLAN,2018,1,61.80131853785901,127.14
BLAN,2018,2,65.11483630952381,61.81
BLAN,2018,3,61.27509687034277,293.23
BLAN,2018,4,64.17818452380952,249.74
BLAN,2018,5,64.92101492537313,139.9
BLAN,2018,6,66.0867192429022,66.54
BLAN,2018,7,75.00774447949527,119.77
BLAN,2018,8,76.05571428571429,64.7
BLAN,2018,9,73.12238924050632,87.17
BLAN,2018,10,54.57422619047619,196.12
BLAN,2018,11,55.059820895522385,74.78
BLAN,2018,12,65.43690476190476,197.11
BLAN,2018,13,70.02424,42.43
BLAN,2018,14,60.16552083333333,91.91
BLAN,2018,15,53.383650793650794,118.58
BLAN,2018,16,58.93201820940819,169.54
BLAN,2018,17,64.77992319508448,56.74
BLAN,2018,18,52.399844236760124,169.93
BLAN,2018,19,74.2812932330827,119.54
BLAN,2018,20,85.18146126760563,82.38
BLAN,2018,21,79.40613050075872,66.71
BLAN,2018,22,86.54324031007752,30.6
BLAN,2018,23,80.69266323024056,55.11
BLAN,2018,24,80.703,65.32
BLAN,2018,25,85.08272131147541,53.95
BLAN,2018,26,82.51767228177641,61.52
BLAN,2018,27,82.23076205287714,31.28
BLAN,2018,28,74.59367938931298,34.94
BLAN,2018,29,80.98648062015504,113.9
BLAN,2018,30,89.692016,44.32
BLAN,2018,31,87.59524253731344,71.08
BLAN,2018,32,82.18071641791045,96.96
BLAN,2018,33,86.83959223300971,112.14
BLAN,2018,34,84.3982258064516,60.18
BLAN,2018,35,82.19133126934985,49.44
BLAN,2018,36,85.10505785123966,124.93
BLAN,2018,37,96.65580722891566,25.01
BLAN,2018,38,87.9714312267658,24.39
BLAN,2018,39,91.4553415061296,25.58
BLAN,2018,40,84.13503086419753,45.48
BLAN,2018,41,84.35799698795181,31.6
BLAN,2018,42,77.56480597014925,109.51
BLAN,2018,43,73.15858646616542,120.11
BLAN,2018,44,80.14855384615385,60.47
BLAN,2018,45,81.058147566719,90.89
BLAN,2018,46,73.59038647342994,62.29
BLAN,2018,47,69.54100299401198,41.27
BLAN,2018,48,68.95056542810985,184.73
BLAN,2018,49,73.8617731629393,172.85
BLAN,2018,50,74.90203869047619,87.59
BLAN,2018,51,80.3195856873823,60.44
BLAN,2018,52,76.30696832579186,31.16
BLAN,2019,1,85.33856173677069,77.97
BLAN,2019,2,66.588,75.83
BLAN,2019,3,82.70626307922272,48.63
BLAN,2019,4,66.89461904761905,62.17
BLAN,2019,5,63.64630952380952,198.84
BLAN,2019,6,79.33964856230033,148.25
BLAN,2019,7,65.35474464579902,160.02
BLAN,2019,8,67.52413533834587,133.7
BLAN,2019,9,64.71981762917933,275.22
BLAN,2019,10,66.40846749226006,93.47
BLAN,2019,11,60.19737160120846,217.19
BLAN,2019,12,59.96634441087613,395.64
BLAN,2019,13,57.06576923076923,145.23
BLAN,2019,14,58.29805243445693,178.22
BLAN,2019,15,70.12194486983155,291.93
BLAN,2019,16,70.1958630952381,74.68
BLAN,2019,17,67.34708333333333,96
BLAN,2019,18,73.21529313232831,140.16
BLAN,2019,19,80.90555377207063,143.11
BLAN,2019,20,78.44352852852853,73.87
BLAN,2019,21,66.76860119047619,109.85
BLAN,2019,22,75.74799107142857,90.09
BLAN,2019,23,72.08111607142857,99.33
BLAN,2019,24,73.67325722983257,84.52
BLAN,2019,25,74.44915151515151,68.03
BLAN,2019,26,72.83988095238095,259.15
BLAN,2019,27,76.35075268817204,80.24
BLAN,2019,28,85.82894488188977,105.02
BLAN,2019,29,78.74478658536586,98.87
BLAN,2019,30,82.46432907348243,214.38
BLAN,2019,31,82.23506211180124,93.4
BLAN,2019,32,79.0154714064915,76.3
BLAN,2019,33,81.62692546583851,93
BLAN,2019,34,85.45764150943396,86.61
BLAN,2019,35,81.71323076923078,112.82
BLAN,2019,36,82.05601226993865,66.17
BLAN,2019,37,80.38116923076923,125.78
BLAN,2019,38,76.94204892966361,51.76
BLAN,2019,39,73.19064417177914,114.84
BLAN,2019,40,76.5287969924812,111.06
BLAN,2019,41,80.42061417322834,95.17
BLAN,2019,42,71.51382488479263,103.54
BLAN,2019,43,81.088192,73.23
BLAN,2019,44,79.62974025974026,47.88
BLAN,2019,45,66.81522321428571,113.21
BLAN,2019,46,64.04321428571428,84.07
BLAN,2019,47,70.67057488653555,32.8
BLAN,2019,48,69.26278614457831,746.91
BLAN,2019,49,72.143921875,96.61
BLAN,2019,50,73.44976152623211,49.72
BLAN,2019,51,70.27168157423971,65.52
BLAN,2019,52,80.4645045045045,27.71
BLAN,2020,1,71.1478813559322,113.94
BLAN,2020,2,70.04235668789809,244.43
BLAN,2020,3,74.36061417322834,240.25
BLAN,2020,4,69.62005988023952,151.16
BLAN,2020,5,69.74287250384025,121.02
BLAN,2020,6,74.31183641975309,110.94
BLAN,2020,7,71.20457413249211,129.24
BLAN,2020,8,56.190044642857146,124.72
BLAN,2020,9,61.883818181818185,104.25
BLAN,2020,10,54.235022488755625,159.22
BLAN,2020,11,59.07641255605381,176.9
BLAN,2020,12,69.10671150971599,114.7
BLAN,2020,13,73.17445121951219,43.77
BLAN,2020,14,63.780876132930516,113.25
BLAN,2020,15,66.87948795180723,335.47
